id,exercise_id,anchor,is_primary,created_at
e413dab1-db5e-4a9a-b653-e431bb9f5eb4,sissy-squat,squat,t,2026-02-10 15:15:34.611804+00
e4f8866e-e780-47eb-81c7-818c0d011b96,tricep-cable-pulldowns,press,t,2026-02-10 15:15:34.611804+00
e58111b8-e55d-46f8-8383-382bb94e5b6c,thruster,power,t,2026-02-10 15:15:34.611804+00
e5f6b180-3e21-45a5-be58-fb06dfd42f25,dips,press,t,2026-02-10 15:15:34.611804+00
e7351149-3b50-4fee-8734-82c270548568,bench-press-decline,press,t,2026-02-10 15:15:34.611804+00
e7ad5db0-c13f-41d8-8ade-4a9360f36946,rack-carry,surprise,t,2026-02-10 15:15:34.611804+00
ea1d85fd-09fa-462f-b4b5-f241cf5c646b,box-jumps,power,f,2026-02-10 15:15:34.611804+00
ea38ac73-ef85-4830-9545-180f49bed452,plank,surprise,t,2026-02-10 15:15:34.611804+00
ebd000de-0ad6-4ffd-b07c-72dfc6e8c0bf,air-squat,squat,t,2026-02-10 15:15:34.611804+00
ecc236f9-69b9-4fa6-ad0f-2bdd64406ff1,power-clean,power,t,2026-02-10 15:15:34.611804+00
ede1c744-a166-47db-8ded-7a5fc245aa53,box-jumps,surprise,t,2026-02-10 15:15:34.611804+00
eea0872b-bd9b-4a51-a1da-acab27ff536a,squat-jumps,power,f,2026-02-10 15:15:34.611804+00
ef3b0e7c-c53e-4969-afa4-47db47eea659,sumo-deadlift,hinge,t,2026-02-10 15:15:34.611804+00
efbec138-d8db-4177-873e-5b7c0e27d94c,runners,surprise,t,2026-02-10 15:15:34.611804+00
f0d414b6-a5c0-4a23-a6bc-e2b9b9579641,straight-arm-pulldown,pull,t,2026-02-10 15:15:34.611804+00
f4ec0018-ca10-4173-b014-1df6a5fe40f4,burpees,power,f,2026-02-10 15:15:34.611804+00
f73f2072-d3fe-4e66-9384-e3f0bb640cb9,back-squat,squat,t,2026-02-10 15:15:34.611804+00
f85e81fd-394d-4d6d-a49d-b86b4569ad5b,pendlay-row,pull,t,2026-02-10 15:15:34.611804+00
f8652396-6f72-4863-9464-78415ce1366a,pigeon-stretch,surprise,t,2026-02-10 15:15:34.611804+00
f88990e4-f9ad-4258-b75b-2d2e2ad7203d,box-step-ups,squat,t,2026-02-10 15:15:34.611804+00
f992f760-f14b-4d1b-b480-2322dc4f5883,l-sit,surprise,t,2026-02-10 15:15:34.611804+00
fb7fb7cb-9a2c-41f6-92f3-9b6adab535da,bear-crawl,surprise,t,2026-02-10 15:15:34.611804+00
fc883e3b-b108-4759-bfad-7d10a06b8696,hack-squat,squat,t,2026-02-10 15:15:34.611804+00
fdeb8fa1-3b2c-4d91-b48d-bc87d0947379,sled-pull,surprise,t,2026-02-10 15:15:34.611804+00
ffa90c16-5bc2-4d47-ae93-fa7416a02126,squat-clean,power,t,2026-02-10 15:15:34.611804+00
